gene	transcript	D01_Ctrl_0h	D01_Lps_1h	D01_Lps_2h	D01_Lps_4h	D01_Lps_6h	D09_Ctrl_0h	D09_Lps_1h	D09_Lps_2h	D09_Lps_4h	D09_Lps_6h
TCIRG1	NA	2483	3233	1621	868	2795	2119	2587	2307	2701	2363
TRIM39	NA	102	100	55	55	127	76	72	102	76	77
PARL	NA	380	416	222	86	184	298	346	210	241	191
LOC102546228	NA	0	0	0	0	0	0	0	0	0	0
CRNN	NA	0	0	0	0	0	0	0	0	0	0
TMEM231	NA	12	14	5	1	5	7	13	6	2	0
GRN	NA	35842	44307	22014	12671	38598	27355	30372	27417	33501	33436
NBPF11	NA	56	109	46	15	68	40	55	58	36	68
C9orf135-AS1	NA	0	0	0	0	0	0	0	0	0	0
HSH2D	NA	35	27	13	71	344	15	29	13	158	125
SCAMP1	NA	678	822	401	242	499	610	737	437	479	420
PTS	NA	32	44	25	30	69	31	30	35	55	40
MIR6777	NA	0	0	0	0	0	0	0	0	0	0
BANP	NA	269	246	120	145	308	195	190	217	291	209
PRKACG	NA	0	0	0	0	0	0	0	0	0	0
LOC101928988	NA	0	0	0	0	0	0	0	0	0	0
ADCY6	NA	2	4	1	0	2	5	3	1	0	0
C16orf46	NA	5	1	4	2	2	7	11	4	3	2
KLHL40	NA	0	0	0	0	0	0	0	0	0	0
DDC	NA	0	0	0	0	0	0	0	0	0	0
CYP51A1	NA	625	794	388	209	390	1514	1726	1221	1261	881
ANPEP	NA	18741	22996	11634	8911	31793	12249	15000	15550	28772	33332
WWC2-AS2	NA	11	6	4	1	4	4	5	1	3	3
PROM1	NA	5	2	2	0	0	0	0	2	0	0
MIR3664	NA	0	0	0	0	0	0	0	0	0	0
SIGLEC10	NA	2109	2449	1281	708	1234	549	627	443	486	371
LOC101928525	NA	0	0	0	0	0	0	0	0	0	0
TRIP4	NA	309	339	171	257	670	258	281	189	414	376
FAM26E	NA	0	0	0	1	1	0	0	3	3	1
GDF5	NA	0	0	0	0	0	0	0	0	0	0
SNX3	NA	2163	2310	1087	781	1917	1749	2012	1321	1821	1704
PPY2	NA	0	0	0	0	0	0	0	0	0	0
PCNAP1	NA	0	0	0	0	0	2	0	0	0	0
GOLGA8O	NA	118	64	44	2	7	55	41	28	22	0
ASB18	NA	0	0	0	0	0	0	0	0	0	0
LOC101929762	NA	0	1	0	0	0	0	0	0	0	0
FTSJ1	NA	269	272	149	68	139	142	178	127	136	148
DST	NA	686	989	501	198	321	904	1163	912	784	403
GLRX5	NA	198	196	83	45	69	135	112	76	97	60
MIR6801	NA	0	0	0	0	0	0	0	0	0	0
CAB39	NA	2544	2568	957	705	1790	1980	2204	1142	1364	1335
MSH2	NA	171	197	72	16	17	110	160	59	16	15
PIP4K2C	NA	287	367	196	74	154	311	372	256	230	205
CYLD	NA	836	1312	939	1067	2722	501	823	1003	1684	1590
DEFB108B	NA	0	0	0	0	0	0	0	0	0	0
WTAP	NA	512	1591	2685	3723	4975	449	1904	4710	7621	5336
UBE3D	NA	15	19	1	1	1	21	25	10	3	0
PET100	NA	148	184	82	65	143	126	142	99	155	136
NECAB3	NA	48	60	23	11	8	26	42	28	2	0
SERTM1	NA	0	0	0	0	0	0	0	0	0	0
PYY2	NA	0	0	0	0	2	0	0	2	0	0
MGAT4A	NA	3277	4024	1678	471	817	2748	3609	1975	1028	1339
LINC00359	NA	0	0	0	0	0	0	0	0	0	0
TSC22D4	NA	1307	1596	652	457	938	835	975	756	857	637
CHRM2	NA	0	0	0	0	0	0	1	0	0	0
LINC00707	NA	0	0	0	3	0	0	0	0	0	0
CCNH	NA	955	1228	534	146	373	687	887	494	313	274
RRM1	NA	444	445	212	98	215	299	344	208	218	230
OR5K2	NA	0	0	0	0	0	0	0	0	0	0
GABRA4	NA	5	1	1	0	0	0	1	0	0	0
MACROD2-AS1	NA	0	0	0	0	0	0	0	0	0	0
CTDSPL	NA	263	268	106	25	39	320	342	185	136	41
PDE11A	NA	0	0	0	0	0	0	0	0	0	0
KLHL29	NA	4	5	9	0	12	5	3	7	5	8
SKIDA1	NA	2	0	0	0	0	0	1	1	1	1
CD5	NA	6	10	1	1	4	7	14	10	13	15
TSPAN9	NA	0	0	0	0	0	0	0	0	0	2
SNORD88B	NA	0	0	0	0	0	0	0	0	0	0
THUMPD1	NA	767	800	287	256	664	635	597	370	627	529
CLYBL	NA	91	86	44	22	51	71	92	65	84	73
VN1R1	NA	3	1	0	0	1	8	0	0	4	0
LECT2	NA	0	0	0	0	0	0	0	0	0	0
CMBL	NA	6	3	2	1	2	36	43	25	23	9
SRSF2	NA	1243	1610	1088	951	2194	851	1366	1458	2594	2136
NKAPL	NA	5	9	2	0	1	0	8	3	4	3
OR4C6	NA	0	0	0	0	0	0	0	0	0	0
RAB30	NA	303	291	98	175	708	260	278	164	576	702
TSSK4	NA	4	6	1	1	5	0	0	0	4	2
TMEM163	NA	3	2	2	1	0	4	1	0	1	1
OSBPL11	NA	1848	2057	623	186	747	1712	1720	695	531	679
GNB5	NA	19	29	16	6	10	12	12	12	20	9
CCL21	NA	0	0	0	0	0	0	0	0	0	0
FMO2	NA	0	0	0	0	1	0	0	0	0	0
RPTN	NA	0	0	0	0	0	0	0	0	0	0
MSTN	NA	0	0	0	0	0	0	0	0	0	0
HOXC-AS2	NA	0	0	0	0	0	0	0	0	0	0
VCL	NA	4337	5274	2023	427	395	2685	3137	1646	751	312
FYTTD1	NA	1426	1586	803	1038	3038	931	1197	911	2499	2485
C11orf1	NA	105	137	55	34	50	52	67	41	40	28
MOGAT1	NA	2	1	1	0	0	3	1	2	0	0
HFE	NA	58	67	42	18	38	58	59	54	40	44
CCDC88C	NA	16	15	8	0	3	44	64	39	23	14
TMEM191A	NA	2	1	1	0	2	1	1	0	1	2
IRGQ	NA	884	1247	1079	331	609	672	1354	1511	782	768
RAVER2	NA	15	30	20	20	46	8	29	13	27	36
LOC644554	NA	0	0	0	0	0	1	0	0	0	0
AKAP5	NA	1291	1470	508	169	412	532	536	226	224	327
MIR6815	NA	0	0	0	0	0	0	0	0	0	0
SSSCA1	NA	125	100	71	40	67	63	104	62	59	92
C11orf63	NA	72	87	36	9	33	48	50	40	15	17
PRAMEF4	NA	0	0	0	0	0	0	0	0	0	0
LOC643072	NA	127	212	80	26	75	71	110	58	46	31
PORCN	NA	47	59	39	20	25	25	35	21	36	18
DTL	NA	13	18	5	0	2	17	26	8	3	1
ACTG2	NA	0	0	0	0	0	0	0	0	0	0
LINC00152	NA	243	405	285	185	470	156	252	344	413	240
MIR203B	NA	0	0	0	0	0	0	0	0	0	0
CENPV	NA	26	27	24	3	10	13	22	13	6	5
SNAR-B2	NA	0	0	0	0	0	0	1	0	0	0
PRR23D1	NA	0	0	0	0	0	0	0	0	0	0
LPAR6	NA	193	282	34	40	43	119	162	26	38	25
LOC389247	NA	2	0	0	0	0	0	0	0	0	2
FAM122C	NA	28	15	6	13	47	15	22	16	27	18
RSAD2	NA	36	33	70	11477	40507	17	21	489	30282	29201
SNORA28	NA	0	0	0	0	0	1	1	0	0	0
C8orf89	NA	0	0	0	0	0	0	0	0	0	0
MYH8	NA	0	0	0	0	0	0	0	0	0	0
KRTDAP	NA	0	0	0	0	0	0	0	0	0	0
CRTC3	NA	797	1020	321	235	779	618	663	367	668	596
SNORD113-1	NA	0	0	0	0	0	0	0	0	0	0
PRAMEF19	NA	0	0	0	0	1	0	0	0	0	0
LRRFIP2	NA	305	357	128	333	731	232	300	253	881	631
INTS4	NA	523	508	261	65	194	412	496	287	198	154
TTN	NA	372	996	465	120	255	225	711	599	318	298
SLC26A5	NA	0	0	0	0	0	0	2	0	0	2
RGS6	NA	0	0	0	0	0	0	0	0	0	0
PLLP	NA	0	1	0	0	1	1	0	0	0	0
SRGAP3	NA	7	7	9	5	15	4	2	13	15	18
ZNF525	NA	110	60	28	18	56	88	56	37	68	73
NAF1	NA	228	258	105	81	201	168	175	123	223	248
GUCY2EP	NA	3	0	2	0	0	0	0	0	0	0
NBR2	NA	45	26	20	3	2	32	27	17	3	16
HERC2P10	NA	2	3	1	1	1	2	0	0	2	3
MIR6128	NA	0	0	0	0	0	0	0	0	0	0
MIR3607	NA	0	0	0	0	0	0	0	0	0	0
BEST2	NA	0	0	0	0	0	0	0	0	0	0
RNF121	NA	145	136	68	29	51	109	100	71	64	72
ZNF93	NA	121	48	23	5	17	119	76	22	19	18
DMRTC2	NA	0	0	0	0	0	0	0	0	0	0
LOC100133669	NA	0	0	0	0	1	0	0	0	0	0
C8orf76	NA	167	198	91	58	197	90	112	103	155	136
TMEM219	NA	935	945	427	244	674	648	641	482	599	698
BCCIP	NA	291	355	178	92	153	185	218	149	191	165
MEST	NA	11	15	6	5	13	8	6	3	7	11
LOC101928812	NA	0	0	0	0	0	0	0	0	0	0
HTRA2	NA	150	146	54	24	80	115	136	65	70	111
PARD6G-AS1	NA	1	0	0	1	0	1	1	3	0	0
ILKAP	NA	49	53	20	23	52	44	44	59	51	43
ANGPTL2	NA	0	0	0	0	2	0	0	0	1	0
ERAS	NA	0	0	0	0	0	0	0	0	0	0
HBS1L	NA	437	583	290	232	371	364	497	333	412	403
CPA5	NA	0	0	0	0	0	0	0	0	0	0
TMEM30A	NA	4395	5130	2326	1891	4024	2437	2933	2155	2897	2683
CD300LF	NA	826	1071	469	114	88	696	973	590	304	101
WISP3	NA	0	0	0	0	0	0	0	0	0	0
PDS5A	NA	2213	2607	1134	658	1665	1865	2060	1380	1731	1667
CRK	NA	749	691	480	563	937	608	631	794	1062	936
BRPF3	NA	322	406	304	390	843	275	380	626	943	537
NEDD9	NA	104	150	141	29	57	112	211	173	31	35
SMPDL3B	NA	0	0	0	0	1	0	1	0	0	0
PSG6	NA	0	0	0	0	0	0	0	0	0	0
PSMD13	NA	335	379	195	91	220	285	383	268	321	296
ETV5	NA	432	500	201	74	421	578	541	266	330	383
FAM221A	NA	17	29	9	8	6	12	24	9	11	8
OR51A4	NA	0	0	0	0	0	0	0	0	0	0
MIR4673	NA	0	0	0	0	0	0	0	0	0	0
CDK19	NA	933	1009	471	171	290	751	768	471	326	224
BTBD7	NA	801	874	400	475	876	683	672	726	1152	887
LOC101928002	NA	0	0	0	0	0	0	0	0	0	0
MIR629	NA	0	0	0	0	0	0	0	0	0	0
LOC100631378	NA	0	0	0	0	0	0	0	0	0	0
GSTO1	NA	1188	1296	613	539	1622	796	1156	796	1476	1245
MAD2L1BP	NA	118	93	45	68	220	88	66	106	179	177
COX6A2	NA	0	0	0	0	0	0	0	0	0	0
SCNN1A	NA	5	13	6	0	8	3	2	0	5	0
PGAM4	NA	0	0	0	0	1	0	1	0	2	0
TYRO3P	NA	1	7	0	1	0	2	0	0	4	1
LSM1	NA	241	266	119	61	201	165	225	109	181	164
UGT2B11	NA	0	0	0	0	0	0	0	0	0	0
IDUA	NA	126	147	72	41	119	71	94	86	95	86
LOC100132111	NA	0	0	0	0	0	1	0	0	1	0
SNORD48	NA	0	0	0	0	0	0	0	0	0	0
PPP2R3C	NA	421	507	180	173	386	324	390	317	404	292
COX11	NA	132	163	84	47	90	79	151	96	78	93
VWA5B2	NA	0	0	0	0	0	1	0	0	0	0
PDZK1	NA	3	2	0	3	1	0	0	0	2	2
ZNF443	NA	26	13	11	0	3	21	12	15	0	4
LOC101927267	NA	0	0	0	0	0	0	0	0	0	0
SNORD104	NA	0	0	0	0	0	0	1	0	0	1
KRTAP10-10	NA	0	0	0	0	0	0	0	0	0	0
CXCL6	NA	0	0	0	0	0	0	0	0	0	1
SLC34A2	NA	0	0	0	0	0	0	0	0	0	0
FAM217B	NA	261	156	32	5	45	133	71	21	21	78
NPTN	NA	1879	2264	1141	993	2668	1279	1482	1286	2275	2542
UPP1	NA	987	1660	1006	689	1580	612	1576	1780	1835	1061
ACTA2-AS1	NA	1	2	2	0	2	0	0	0	3	1
SLC6A9	NA	3	11	1	4	17	1	2	1	8	6
LOC284080	NA	0	0	0	0	0	1	0	0	0	0
PITPNA-AS1	NA	8	6	3	3	0	6	7	2	1	0
OR7G3	NA	0	0	0	0	0	0	0	0	0	0
FLJ44511	NA	12	1	1	3	10	0	3	1	6	10
CISD1	NA	139	153	63	24	39	109	114	67	48	31
SYT14	NA	0	1	0	0	0	0	0	0	0	0
ZNHIT3	NA	149	152	72	32	90	88	92	75	72	68
SNRPD3	NA	935	1073	502	276	578	719	818	586	693	527
LOC101928438	NA	0	0	0	0	0	0	0	0	0	0
HIST2H2BA	NA	1	1	0	0	0	0	1	1	0	1
LOC100129138	NA	0	0	0	0	1	0	0	0	0	0
PPP1R35	NA	28	25	7	8	33	23	20	17	21	37
UNC93B1	NA	1071	1236	659	554	2568	849	1027	890	1383	1960
FRG1B	NA	104	103	40	22	42	85	91	58	71	58
LOC102723385	NA	0	0	0	0	0	0	0	0	0	0
GMNN	NA	54	59	20	5	7	68	39	32	29	39
SPCS2	NA	693	707	366	237	664	540	644	528	815	715
SNAR-A3	NA	0	0	0	0	0	0	0	0	0	0
LOC101929064	NA	0	0	0	0	0	0	0	0	0	0
PNLIPRP1	NA	0	0	0	0	0	0	0	0	0	0
OR6V1	NA	0	0	0	0	0	0	0	0	1	0
PRKAB1	NA	283	237	101	80	238	175	183	83	159	158
EYA4	NA	0	0	0	3	3	0	0	0	1	0
MIR5584	NA	0	0	0	0	0	0	0	0	0	0
KIF20A	NA	21	10	3	0	1	8	7	7	2	4
ALG10	NA	117	91	34	12	45	58	79	39	42	32
ITPKC	NA	57	82	68	30	92	47	92	159	124	83
SIK3	NA	849	1009	431	730	2390	528	569	534	1810	1461
LMX1B	NA	0	0	0	0	1	2	0	0	2	0
RPUSD4	NA	158	165	48	26	44	76	76	46	66	49
LOC101927580	NA	0	0	0	0	0	0	0	1	0	0
MIR4639	NA	0	0	0	0	0	0	0	0	0	0
C7orf34	NA	0	0	0	0	0	0	0	0	0	0
LOC101927082	NA	0	0	0	0	0	0	0	0	0	0
DLGAP2	NA	0	0	2	1	2	4	2	1	0	0
PFN1	NA	12855	15628	8775	6794	20559	9218	11445	11500	20244	19991
GAS8-AS1	NA	1	0	0	0	0	0	1	0	0	0
ZNF654	NA	442	355	135	197	459	272	286	168	617	497
MICALL2	NA	83	155	44	25	98	50	87	111	106	78
LINC00628	NA	0	0	0	0	0	0	0	0	0	0
ATP2A1-AS1	NA	0	0	0	1	0	1	0	1	0	0
SS18L1	NA	147	222	76	21	63	125	124	70	50	82
TIMM21	NA	137	155	53	5	27	91	88	59	40	38
SLC16A8	NA	0	0	0	0	0	0	2	0	1	0
FAM65C	NA	11	34	10	8	13	2	15	11	17	18
ITGB3	NA	409	414	286	635	1896	248	262	339	1443	2210
TCEA3	NA	4	8	6	0	1	4	0	1	0	0
LOC284294	NA	0	0	0	0	0	0	0	0	0	0
LINC01288	NA	0	0	0	0	0	0	0	0	0	0
CEP152	NA	87	130	25	10	61	53	64	28	34	48
CLIP1	NA	1623	2089	1004	877	3503	1223	1620	1213	2175	3575
LOC101927539	NA	2	0	0	0	0	0	1	0	0	0
NUDT5	NA	455	529	249	112	122	355	371	278	239	90
ATP5C1	NA	2007	2354	1051	622	1366	1264	1705	1185	1373	1171
SNORA35	NA	0	0	0	0	0	0	0	0	0	0
UBP1	NA	1241	1323	780	1036	2215	828	974	934	2011	1762
TTPAL	NA	115	137	59	55	102	85	98	49	95	85
RBM27	NA	993	1002	361	258	817	630	640	379	706	668
FLJ45079	NA	0	0	0	0	0	0	0	0	0	0
ZNF282	NA	238	237	68	80	240	167	135	136	207	212
ZNF222	NA	37	12	10	19	21	34	11	25	29	8
FAM160B2	NA	237	321	157	54	181	190	246	161	179	189
COL10A1	NA	1	0	0	0	2	3	0	0	0	0
ANAPC15	NA	142	231	105	62	129	138	165	129	144	109
PRDM15	NA	124	82	33	18	34	80	87	47	44	76
TTTY5	NA	0	0	0	0	0	0	0	0	0	0
FAM9C	NA	0	1	0	0	0	0	0	0	0	0
LINC00264	NA	4	3	0	0	1	2	0	1	3	0
GNG13	NA	0	0	0	0	0	0	0	0	0	0
F12	NA	0	1	0	0	1	0	0	0	2	0
MIR432	NA	0	0	0	0	0	0	0	0	0	0
CPXCR1	NA	0	0	0	0	0	0	0	0	0	0
VTRNA1-3	NA	0	0	0	0	0	0	0	0	0	0
LINC01573	NA	0	0	0	0	0	0	0	0	0	0
SUPT6H	NA	2972	3323	1466	835	2295	2007	2305	1620	2323	2199
GSK3A	NA	866	951	431	231	939	553	634	523	831	824
PI16	NA	0	0	0	0	0	0	0	0	0	0
ELL2	NA	524	985	996	788	1724	506	976	1206	1520	1864
NTN5	NA	0	0	0	0	0	0	0	0	0	0
PVRL3	NA	11	18	7	43	128	12	14	3	63	63
LOC101929452	NA	0	0	0	0	0	0	0	0	0	0
ADAM20	NA	1	0	0	0	0	2	0	0	0	0
TMEM199	NA	193	229	97	66	167	169	172	105	171	176
GPR89A	NA	109	170	79	61	76	140	162	86	137	94
GPR87	NA	0	0	0	0	0	0	0	0	0	0
ZNF30	NA	18	13	2	0	2	6	7	0	4	1
SNORD115-45	NA	0	0	0	0	0	0	0	0	0	0
ZNF770	NA	897	579	159	124	424	564	387	189	401	441
SMR3B	NA	0	0	0	0	0	0	0	0	0	0
MIR4420	NA	0	0	0	0	0	0	0	0	0	0
LOC101929207	NA	0	0	0	0	0	0	0	0	0	0
LINC01482	NA	0	0	0	0	0	1	0	1	1	0
TRPC4AP	NA	1033	1242	633	434	1496	772	815	750	1133	1592
AGAP1	NA	7	6	1	1	2	1	0	0	0	0
LINC00886	NA	18	10	2	0	1	8	5	7	1	2
TBC1D29	NA	0	0	0	0	0	0	0	0	0	0
FREM1	NA	0	0	0	0	0	1	0	0	0	3
LAMA4	NA	0	0	2	0	1	0	0	0	0	0
ADPRHL2	NA	246	170	134	274	630	192	149	265	730	517
EIF4G2	NA	17574	21106	11570	9174	21687	12457	15428	13007	20090	17850
MIR133A2	NA	0	0	0	0	0	0	0	0	0	0
ZNF385A	NA	6014	6437	2891	1090	3294	4102	4172	2746	2822	2084
MIR4285	NA	0	0	0	0	0	0	0	0	0	0
RPF1	NA	278	352	136	95	249	270	245	177	257	210
LINC00443	NA	0	0	0	0	0	0	0	0	0	0
GUCA1A	NA	159	178	49	34	50	38	48	25	27	16
MIR95	NA	0	0	0	0	0	0	0	0	0	0
MIR4319	NA	0	0	0	0	0	0	0	0	0	0
CTNNA2	NA	0	0	0	0	0	0	0	0	0	0
NUDT15	NA	53	47	19	16	32	53	60	36	34	29
PRAMEF22	NA	0	0	0	0	0	0	0	0	0	1
CEPT1	NA	654	648	273	121	246	532	516	269	289	289
MIR3184	NA	0	0	0	0	0	0	0	0	0	0
ZNFX1	NA	3935	4389	5145	7823	16863	2322	3040	6799	14026	8999
TDRD1	NA	2	7	0	0	0	0	0	0	0	0
PAXBP1-AS1	NA	45	50	11	10	29	40	39	21	38	22
KCNK5	NA	9	11	24	3	6	4	5	26	10	2
CCDC92	NA	616	737	375	230	869	507	527	344	590	567
ETNK1	NA	2217	2584	1097	704	1634	1799	2193	1400	1363	932
C3orf67-AS1	NA	0	0	0	0	0	0	0	0	0	1
MIR6086	NA	0	0	0	0	0	0	0	0	0	0
CEP44	NA	89	96	39	6	30	64	64	25	11	28
TEX30	NA	48	81	26	38	76	39	43	44	77	55
LTA	NA	0	3	8	16	32	0	5	18	42	20
TTPA	NA	0	0	0	0	0	0	0	0	0	0
B3GALNT2	NA	301	353	179	63	181	200	246	164	157	107
MIR6838	NA	0	0	0	0	0	0	0	0	0	0
loc2415	NA	0	0	0	21	13	0	0	2	78	45
PEX5L	NA	0	2	0	0	1	0	0	1	2	1
MIR4311	NA	0	0	0	0	0	0	0	0	0	0
EPS15L1	NA	592	743	407	149	569	428	534	426	456	364
MIR499A	NA	0	0	0	0	0	0	0	0	0	0
MGEA5	NA	1000	1090	556	425	899	723	840	699	661	768
LARGE-AS1	NA	0	0	0	0	0	0	0	0	0	0
HIST1H3A	NA	40	56	12	7	8	20	22	7	9	4
ING1	NA	168	208	54	38	120	106	118	40	79	99
EBLN2	NA	25	27	41	22	40	9	31	47	28	40
BCAT1	NA	1729	1582	864	864	2610	1563	1734	1253	1865	2130
KBTBD12	NA	0	0	0	0	0	5	7	6	6	2
GGTA1P	NA	645	702	314	143	298	517	604	431	387	363
GUCY2GP	NA	0	0	0	0	0	0	0	0	0	0
KLK11	NA	0	0	0	0	0	0	0	0	0	0
ARL17A	NA	254	260	86	74	214	156	166	95	109	70
DNER	NA	0	0	0	0	0	0	1	0	0	0
SMG7-AS1	NA	1	6	2	2	4	3	3	1	3	1
MED22	NA	328	328	90	15	113	224	223	140	151	140
ETV6	NA	4509	4077	1664	1722	5315	2573	2267	1555	2875	3560
TMSB4X	NA	22339	30155	14635	10279	25017	12967	16331	12450	18479	17646
CHAC2	NA	15	2	5	1	6	12	9	11	11	9
CD300E	NA	1	12	8	9	30	3	44	30	33	52
LINC00633	NA	0	0	0	0	0	0	0	0	0	0
CEBPB	NA	1770	1706	1013	982	2382	1225	1729	2268	3935	4069
ZNF398	NA	368	179	64	54	236	285	85	97	152	219
AHCTF1P1	NA	9	12	3	1	13	24	14	11	20	8
LRCH3	NA	249	284	120	155	332	219	243	173	409	346
MIR873	NA	0	0	0	0	0	0	0	0	0	0
HMGA1	NA	3421	3924	1945	1217	4114	2091	2215	1888	3101	3303
CAPN7	NA	433	569	264	147	272	374	465	295	338	350
HMMR-AS1	NA	0	0	0	0	0	0	0	0	0	0
CCL3	NA	528	44442	44839	24919	31246	496	36934	41520	35027	18186
NANOS1	NA	29	33	26	9	25	21	11	17	18	24
ZFYVE19	NA	118	147	49	12	29	87	86	65	47	39
LINC00845	NA	0	0	0	0	0	0	0	0	0	0
APITD1	NA	27	19	11	4	14	22	28	14	19	11
SERPINI2	NA	0	0	0	0	0	0	0	0	0	0
PARD3	NA	0	0	0	0	0	0	3	0	1	2
IRAK4	NA	355	358	166	59	128	272	260	158	137	139
TTC9	NA	183	175	84	46	250	28	21	10	67	78
SNORA4	NA	0	0	0	0	0	0	3	0	1	0
MYOM3	NA	0	0	0	0	0	0	0	0	0	0
MLPH	NA	2	4	2	0	1	44	34	18	6	13
FAM74A6	NA	0	0	0	0	0	0	0	0	0	0
SYNPR-AS1	NA	0	0	0	0	0	0	0	0	0	0
NRG1	NA	0	0	0	0	0	0	0	0	0	1
CES1P1	NA	0	0	0	0	5	13	18	22	49	41
TBC1D9	NA	1238	1404	938	1986	5009	631	800	925	2725	2922
TTK	NA	3	12	2	0	3	9	11	2	6	9
DCAF12L1	NA	0	0	0	0	0	0	0	0	0	0
ZNF557	NA	161	81	23	37	90	157	55	56	78	82
DDX41	NA	777	931	424	204	393	535	585	452	403	285
FANK1	NA	1	2	2	0	0	0	0	0	2	0
OR2L3	NA	0	0	0	0	0	0	0	0	0	0
UBE2D2	NA	730	869	434	420	905	496	513	604	911	798
PSMB10	NA	421	502	280	164	517	279	341	315	329	382
ZBTB49	NA	39	41	28	27	56	43	42	71	66	71
MYH7B	NA	1	3	5	0	4	2	1	3	4	3
LOC101928738	NA	0	0	0	0	0	0	0	0	0	1
GABARAPL2	NA	891	1004	518	379	770	638	733	527	722	495
MARVELD2	NA	1	4	1	0	5	0	5	0	6	1
DGCR2	NA	583	597	211	96	383	373	341	256	288	355
MHRT	NA	0	0	0	0	0	0	0	0	0	0
LOC100128714	NA	0	0	0	0	0	0	0	0	0	0
VSIG10	NA	65	131	51	20	34	59	86	41	33	26
UNC45A	NA	535	569	296	70	170	410	467	366	297	235
GRIFIN	NA	0	0	0	0	0	0	0	0	0	0
EXOC3-AS1	NA	8	14	7	2	2	5	7	6	1	4
ZNF683	NA	0	0	0	0	0	0	0	0	0	0
MIR3649	NA	0	0	0	0	0	0	0	0	0	0
GIT2	NA	2891	3408	1166	482	2083	2081	2076	1027	1047	1367
CASK	NA	174	244	121	97	476	143	189	128	123	316
NCAPG	NA	14	27	1	6	15	7	11	8	15	7
MIR550A2	NA	0	0	0	0	0	0	0	0	0	0
MIR4457	NA	0	0	0	0	0	0	0	0	0	0
LOC102467081	NA	0	0	0	0	0	8	9	3	5	2
FAM155B	NA	0	0	0	0	0	0	0	0	0	0
UTP11L	NA	249	343	126	63	164	215	294	144	202	209
TIFA	NA	133	267	110	51	88	116	223	137	103	145
LRRD1	NA	0	0	0	0	0	0	0	0	0	0
MCIDAS	NA	0	0	0	0	0	0	0	0	0	0
FDPS	NA	235	341	144	77	133	321	348	299	231	155
LOC101060542	NA	0	0	0	0	0	0	0	0	0	0
DUSP9	NA	0	0	0	0	0	0	0	0	0	0
ZNF658	NA	64	15	1	11	18	33	7	0	18	22
SLC17A8	NA	0	0	0	0	0	0	0	0	0	0
FAM160A1	NA	0	0	0	0	1	0	0	0	0	0
OR51G1	NA	0	0	0	0	0	0	0	0	0	0
NANS	NA	787	841	435	284	783	568	644	486	844	861
OLFML1	NA	0	4	3	3	2	2	2	6	9	5
SPG20-AS1	NA	1	0	0	0	2	0	0	0	1	0
ATP10B	NA	0	0	0	2	20	0	0	3	0	0
TSPY4	NA	0	0	0	0	0	0	0	0	0	0
ANO6	NA	3435	3809	1846	1446	3693	2349	2805	1895	3203	3487
LINC00547	NA	0	0	0	0	0	0	0	1	0	0
NPAS3	NA	0	2	0	0	1	1	1	0	0	0
PRKCA	NA	2239	2595	1214	523	912	1475	1697	1151	972	486
MIR1193	NA	0	0	0	0	0	0	0	0	0	0
GGA2	NA	1717	1983	829	220	374	1481	1777	1077	521	287
LCE4A	NA	0	0	0	0	0	0	0	0	0	0
SPANXN3	NA	0	0	0	0	0	0	0	0	0	0
EVPLL	NA	0	0	0	0	0	0	0	0	0	0
CCDC115	NA	486	556	325	268	771	359	318	288	443	420
SDCCAG3	NA	78	112	48	5	21	78	183	74	33	30
TTC1	NA	416	479	210	104	221	276	292	285	263	256
GLIPR1L1	NA	1	0	0	0	0	0	0	0	0	0
MAD2L2	NA	113	150	75	69	173	85	110	113	213	303
KHDC1	NA	0	0	0	0	0	0	1	0	0	0
HIPK1	NA	3157	3500	1779	1147	2720	2097	2825	2519	2959	2550
LRRC3B	NA	0	0	0	0	0	0	0	0	0	0
MISP	NA	0	0	0	0	0	0	0	0	0	0
CLN3	NA	459	516	198	174	505	432	561	439	631	464
SATB1-AS1	NA	4	1	0	2	1	1	1	1	1	2
KRTAP19-3	NA	0	0	0	0	0	0	0	0	0	0
NLGN4Y-AS1	NA	0	0	0	0	0	0	0	0	0	0
C17orf47	NA	0	0	0	0	0	0	0	0	0	0
FMN2	NA	0	0	0	0	0	0	0	0	0	0
WAPAL	NA	1968	2128	891	817	1903	1358	1495	1120	1888	1698
TUBB1	NA	13	7	15	12	17	6	13	5	15	20
MIR4524A	NA	0	0	0	0	0	0	0	0	0	0
LOC101927616	NA	0	0	0	0	0	0	0	0	0	0
SCN5A	NA	1	0	0	0	0	0	0	0	2	0
SMYD1	NA	0	0	0	0	0	0	0	0	0	0
KAT6B	NA	467	678	258	90	276	379	465	209	133	253
LINC01490	NA	0	0	0	0	0	0	0	0	0	0
BEX5	NA	0	0	0	0	0	0	0	1	0	1
SEC22A	NA	93	72	42	21	48	53	76	38	79	69
LOC642846	NA	0	1	0	0	0	0	2	1	2	0
GRIA2	NA	0	0	0	0	0	0	0	0	0	0
MIR378D2	NA	0	0	0	0	0	0	0	0	0	0
SNORD8	NA	0	0	0	0	0	2	5	0	5	0
KIAA0825	NA	66	93	41	10	29	64	75	44	16	20
NUSAP1	NA	98	113	43	15	20	94	83	55	35	21
LANCL1	NA	149	171	97	26	44	138	121	78	64	27
C15orf40	NA	108	91	59	29	72	58	66	36	47	76
ZNF645	NA	0	0	0	0	0	0	0	0	0	0
GPR61	NA	0	0	0	0	0	0	0	0	0	2
